name,level,sex,ctime,rcount,like,content
陈chen辉hui,6,男,1549710298,17,1625,我连寒假作业都没做完你居然要我做测试卷？(╯°口°)╯(┴—┴
浙江共青团,6,保密,1549710826,25,1037,xswl这期！？？？我是谁？我是团仔！
猪神一样的男人,5,保密,1549710903,4,268,为什么我猜皮卡丘一次都没才对的[小电视_好怒啊]
嗜影君,4,男,1550971541,10,202,"你好，up主。一开始我点开看了，觉得很有趣，慢慢的看到第三集我突然觉得很难受，你们用诙谐幽默的方式说着那些上当受骗的人，对大家起到了警醒的作用是没错的。可是我看着这些人，你只是一直在报道他们的苦，我想了解了解，有没有哪个受害者的问题得到解决的。我不希望看到有人这样受到不公却只能绝望着，什么都做不了。特别是第三集里被王董欺骗的那个大妈，看着真的很心疼。
我希望你能报道出一些被正义惩罚的不良人。让大家看视频时相信仍有真理存在。"
线斩,6,男,1551585326,0,63,新人这么多？没有后续报道要么是连续剧现在还在跟踪报道的。要么就是钱被骗了，真的找不到人的。1818又不是执法部门，他们只是报道新闻的，没那么大的能力。而且1818真的是业界良心了，看过追踪非法油的都知道，警察可能都和商家勾结了，1818还在继续追查。那才是你们要看的正义一定会战胜邪恶
火柴的火花,6,男,1549716941,2,60,"虚假的新闻脱口秀：暴走大事件
真正的新闻脱口秀：1818黄金眼"
江清泰,6,男,1549744877,0,54,"好了好了，聚一聚，聚一聚哈
二十三、 附加题（40分）
1-开店（   ）个月内不可开通充值系统？

2-银泰城是谁买的？
A.敏老板 B.徐宝宝 C.敏宝宝

3-银泰城采访篇，“她”的是怎么介绍的？
A.银泰城我的，好像快要开业了。
B.银泰城，我买的，好像快要开业了。
B.银泰城，我买的，那边快要开业了。

4-“又是你”有带眼镜？（    ）
5-“不是你”是男主持人？（    ）
6-之前庆祝的是1818 10周年？（    ）
7-小吴当时想走红?（    ）
8-二蛋机器人唱得歌是“二加二等于一”？（    ）
9-玛莎拉蒂，我买的。出自徐宝宝（   ）
10*-我能不能上热评（    ）
各位加油鸭。_(:3」∠)_"
zzrll00,6,女,1549733592,0,26,难以置信。。。你们居然搬来了二蛋全家。。。
永远的age17,6,保密,1553353006,0,19,这节目挺有意思，就是没有后续事件就有点难受了
叽里咕凉,5,保密,1549716641,0,19,造星节目，不收费不潜规就能让你红，你说含金量高不高？
